"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J8,J15,J13,J4,J6,J7,J3,J2,J11,J10,J16,J1,J12,J14,J5,J17";"High_Current_Jumper";16;"Conn_01x02";;;
2;"R24,R53,R16,R64,R35,R23,R65,R56,R21,R44,R36,R8,R40,R57,R62,R20,R19,R38,R45,R6,R9,R22,R25,R54,R29,R50,R55,R17,R14,R42,R43,R59,R49,R2,R33,R26,R46,R10,R3,R30,R39,R37,R61,R58,R31,R52,R7,R27,R47,R48,R5,R28,R18,R13,R11,R34,R32,R12,R63,R51,R4,R60,R15,R41";"R_0402_1005Metric";64;"10K";;;
3;"Q5,Q15,Q25,Q11,Q13,Q8,Q3,Q21,Q27,Q22,Q12,Q30,Q14,Q32,Q31,Q20,Q2,Q9,Q4,Q7,Q29,Q16,Q24,Q17,Q18,Q19,Q10,Q1,Q28,Q23,Q26,Q6";"TSOT-23-6";32;"~";;;
4;"C4,C8,C11,C7,C1,C12,C5,C18,C17,C9,C10,C6,C3,C2";"C_0402_1005Metric";14;"0.1u";;;
5;"U8,U2,U10,U13,U9,U3,U5,U7,U12,U4";"TSSOP-16_4.4x5mm_P0.65mm";10;"74HC4051";;;
6;"U11,U6";"TSSOP-16_4.4x5mm_P0.65mm";2;"74HC595";;;
7;"U1";"SOT-363_SC-70-6";1;"INA199xxDCK";;;
8;"D2,D1,D3";"LED_0603_1608Metric";3;"LED";;;
9;"R98,R99,R100";"R_0402_1005Metric";3;"500";;;
10;"R1";"R_1206_3216Metric";1;"25m";;;
11;"C19";"CP_Radial_D10.0mm_P5.00mm";1;"100u";;;
12;"J9";"PinSocket_1x09_P2.54mm_Vertical";1;"Conn_01x09";;;
